Booth,Paper,A:Socialist Alliance,B:Trumpet of Patriots,C:Indigenous - Aboriginal Party of Australia,D:FUSION | Planet Rescue | Whistleblower Protection | Innovation,E:Australia's Voice,F:Jacqui Lambie Network,G:Gerard Rennick People First|Katter's Australian Party,H:Australian Democrats,I:LNP,J:Australian Labor Party,K:Great Australian Party & HEART Party,L:Citizens Party,M:Animal Justice Party,N:Family First,O:Legalise Cannabis Party,P:The Greens,Q:Pauline Hanson's One Nation,R:Sustainable Australia Party - Universal Basic Income,S:Libertarian,A:STRAUSS Jonathan,A:EMANUEL Kamala,B:FONG Harry,B:McMULLAN Robert,B:McCLAER David,C:WHARTON Wayne CoCo,C:DAVIS Marnie Laree,D:SIMPSON Chris,D:JORDAN Frank,E:McDONALD Michelle,E:LECKIE Cameron McClure,E:McGUIRE Aidan,F:HARPER Ange,F:SCHRAMM Craig,G:RENNICK Gerard,G:LYON Robert,H:ROBERTS Scott Frazer,H:PULLAR Luke Daniel,I:SCARR Paul,I:McDONALD Susan,I:FRASER Stuart,I:LI Sophia,I:TUNNEY Yvonne,I:ZHUANG Peter,J:GREEN Nita,J:MULHOLLAND Corinne,J:CASEY Peter,J:SHANKEY Danielle,J:CHISHOLM Melinda,J:BAILEY Brianna,K:BAY William,K:SMITH Catherine,L:PUKALLUS Jan,L:HEALY Richard Frederick,M:JENSZ Michelle,M:DILLON Gregory,N:LUSH Katie,N:FULLER Karen,O:JONES Belinda,O:LINDSAY Melody,P:WATERS Larissa,P:SIDHU Navdeep Singh,P:GARTON Claire,P:COX Jennifer,P:McARDLE Melissa,P:KENNEDY Kirsten,Q:ROBERTS Malcolm,Q:COURT Geena,R:MARTIN Rhett,R:HONNIBALL Ross,S:WILLMOTT Jim,S:LADE Lachlan,UG:HOLMES Gilbert,UG:DONOHUE Danny,UG:WONG Duke,UG:BROWN Jason
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,9,,,,,,,,10,,,,,,,,,,,,,,,,,11,12,,,,,,,,,1,2,,,,,3,4,5,6
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,12,,,,,,,,,11,,,,,5,,10,,3,,6,,,,,7,,,1,,2,,8,,,9,,
1,3,,,,,,,,,,,,,,,,,,,,,,9,10,11,,,,,,,,,,7,8,,,12,,,,,,,,,,,,5,6,,,,,,,,,,,,,,,1,2,,,3,4,,,,
1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,8,,7,,,,10,,,,,,,,,,9,,,,6,,5,11,,,,,,,1,2,,,,,12,,,
1,5,,,,,,,,,,,,,,,,,,,,10,11,,,,,,,,7,8,9,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,12,,,1,2,3,4
1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,6,9,10,11,12,,,,,,,,,,,,,,,4,,,,,,,,5,8,,,1,7,,,,
1,7,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,7,8,9,10,11,12,,,1,2,,,,,,
1,9,,,,,,,,,,,,,,,,,,,,,,7,8,9,,,,,16,17,18,10,11,3,4,,,,,,,,,,,,,,,5,6,14,15,,,12,13,,,,,,,,,1,2,,,,,,,,
1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,9,10,,,,,,,,,,,,,,,,,11,12,5,6,7,8,,,,,,,1,2,,,,,,,,
1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,,10,11,,,,,,,,,,,,7,8,,,,,,,,,,,1,2,,,,,3,4,5,6
1,12,,,,,,,,,,,,,,,,,,,,,,5,4,3,7,6,8,9,,,,,,,,,,,,,,,,,,,,,,10,11,,,13,12,14,15,,,,,,,,,2,1,,,,,,,,
1,13,6,2,,,,,,,,,,,,3,4,5,1,,,8,9,3,4,5,10,11,,,,,,,,,,,,,,,,,,,,,,,,12,,6,7,,,,,,,,,,,,,1,2,,,,,,,,
1,14,,,,,,,,,,,,,,,,,,,,11,12,,,,9,10,,,,,,,,,,7,8,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,,,,,,,,,,
1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,5,6,7,8,9,10,,,,,,,,,,,,,1,2,,,,,,,,,3,4,,,,,,,,
1,16,,,,,,,,,,,,,,,,,,,,,,,,,,6,,5,,,,,3,,,,4,,,,,,,,,,,,,7,,,,8,,,,1,2,,,,,,,,,,,,,9,10,11,12
